catapult_rugby_training_session
Timestamp,Seconds,Latitude,Longitude,Velocity (m/s),Velocity (km/h),Acceleration (m/s2),Odometer (m),Player Load (au),Heart Rate (bpm),Session Phase
09:03:07.000,7.0,51.456027,-0.341293,3.19,11.49,0.02,21.2,1.1,131,Warm-up
09:03:07.100,7.1,51.456030,-0.341294,3.11,11.18,-0.86,21.5,1.1,130,Warm-up
09:03:07.200,7.2,51.456032,-0.341295,2.95,10.62,-1.58,21.8,1.1,131,Warm-up
09:03:07.300,7.3,51.456035,-0.341296,3.10,11.18,1.55,22.1,1.2,131,Warm-up
09:03:07.400,7.4,51.456038,-0.341297,3.35,12.05,2.43,22.4,1.2,132,Warm-up
09:03:07.500,7.5,51.456041,-0.341299,3.63,13.08,2.87,22.8,1.2,132,Warm-up
09:03:07.600,7.6,51.456044,-0.341301,3.63,13.09,0.01,23.2,1.2,133,Warm-up
09:03:07.700,7.7,51.456047,-0.341302,3.55,12.80,-0.81,23.5,1.2,134,Warm-up
09:03:07.800,7.8,51.456050,-0.341303,3.77,13.57,2.14,23.9,1.2,135,Warm-up
09:03:07.900,7.9,51.456054,-0.341303,3.53,12.71,-2.38,24.2,1.3,135,Warm-up
09:03:08.000,8.0,51.456056,-0.341303,3.21,11.56,-3.20,24.6,1.3,135,Warm-up
09:03:08.100,8.1,51.456059,-0.341303,3.21,11.57,0.03,24.9,1.3,135,Warm-up
09:03:08.200,8.2,51.456062,-0.341304,3.28,11.81,0.66,25.2,1.3,135,Warm-up
09:03:08.300,8.3,51.456066,-0.341303,3.60,12.96,3.19,25.6,1.4,135,Warm-up
09:03:08.400,8.4,51.456069,-0.341303,3.47,12.49,-1.30,25.9,1.4,135,Warm-up
09:03:08.500,8.5,51.456072,-0.341304,3.37,12.12,-1.02,26.3,1.4,136,Warm-up
09:03:08.600,8.6,51.456075,-0.341304,3.35,12.07,-0.13,26.6,1.4,136,Warm-up
09:03:08.700,8.7,51.456078,-0.341305,3.40,12.24,0.46,26.9,1.4,136,Warm-up
09:03:08.800,8.8,51.456081,-0.341305,3.36,12.08,-0.43,27.3,1.4,136,Warm-up
09:03:08.900,8.9,51.456084,-0.341305,3.43,12.36,0.76,27.6,1.4,136,Warm-up
09:03:09.000,9.0,51.456087,-0.341305,3.44,12.38,0.05,28.0,1.4,136,Warm-up
09:03:09.100,9.1,51.456090,-0.341306,3.46,12.47,0.25,28.3,1.4,136,Warm-up
09:03:09.200,9.2,51.456093,-0.341306,3.67,13.22,2.10,28.7,1.5,136,Warm-up
09:03:09.300,9.3,51.456097,-0.341307,3.87,13.92,1.94,29.1,1.5,137,Warm-up
09:03:09.400,9.4,51.456100,-0.341307,3.98,14.33,1.12,29.5,1.5,137,Warm-up
09:03:09.500,9.5,51.456104,-0.341307,3.66,13.17,-3.20,29.8,1.5,138,Warm-up
09:03:09.600,9.6,51.456107,-0.341308,3.42,12.30,-2.43,30.2,1.6,138,Warm-up
09:03:09.700,9.7,51.456110,-0.341308,3.46,12.44,0.40,30.5,1.6,138,Warm-up
09:03:09.800,9.8,51.456113,-0.341308,3.31,11.93,-1.42,30.8,1.6,139,Warm-up
09:03:09.900,9.9,51.456116,-0.341307,3.20,11.51,-1.17,31.2,1.6,138,Warm-up
09:03:10.000,10.0,51.456118,-0.341306,3.25,11.70,0.55,31.5,1.6,139,Warm-up
09:03:10.100,10.1,51.456121,-0.341306,3.10,11.15,-1.54,31.8,1.6,139,Warm-up
09:03:10.200,10.2,51.456124,-0.341307,2.97,10.68,-1.29,32.1,1.6,139,Warm-up
09:03:10.300,10.3,51.456127,-0.341307,3.12,11.24,1.54,32.4,1.7,139,Warm-up
09:03:10.400,10.4,51.456129,-0.341307,3.06,11.03,-0.59,32.7,1.7,139,Warm-up
09:03:10.500,10.5,51.456132,-0.341307,2.88,10.37,-1.84,33.0,1.7,140,Warm-up
09:03:10.600,10.6,51.456134,-0.341307,2.81,10.11,-0.72,33.3,1.7,140,Warm-up
09:03:10.700,10.7,51.456137,-0.341307,2.70,9.71,-1.10,33.5,1.7,139,Warm-up
09:03:10.800,10.8,51.456139,-0.341307,2.62,9.43,-0.79,33.8,1.7,139,Warm-up
09:03:10.900,10.9,51.456142,-0.341306,2.57,9.26,-0.47,34.1,1.7,139,Warm-up
09:03:11.000,11.0,51.456144,-0.341306,2.61,9.39,0.36,34.3,1.7,139,Warm-up
09:03:11.100,11.1,51.456146,-0.341304,2.86,10.29,2.50,34.6,1.8,140,Warm-up
09:03:11.200,11.2,51.456149,-0.341303,3.03,10.90,1.70,34.9,1.8,140,Warm-up
09:03:11.300,11.3,51.456151,-0.341302,2.95,10.60,-0.83,35.2,1.8,140,Warm-up
09:03:11.400,11.4,51.456154,-0.341301,2.94,10.59,-0.02,35.5,1.8,140,Warm-up
09:03:11.500,11.5,51.456156,-0.341300,2.79,10.06,-1.49,35.8,1.8,140,Warm-up
09:03:11.600,11.6,51.456159,-0.341300,3.00,10.80,2.07,36.1,1.8,140,Warm-up
09:03:11.700,11.7,51.456162,-0.341299,3.00,10.81,0.02,36.4,1.8,140,Warm-up
09:03:11.800,11.8,51.456165,-0.341299,3.05,10.96,0.42,36.7,1.9,139,Warm-up
09:03:11.900,11.9,51.456167,-0.341298,3.01,10.84,-0.34,37.0,1.9,140,Warm-up
09:03:12.000,12.0,51.456170,-0.341300,3.04,10.94,0.27,37.3,1.9,141,Warm-up
09:03:12.100,12.1,51.456172,-0.341302,3.13,11.25,0.88,37.6,1.9,140,Warm-up
09:03:12.200,12.2,51.456175,-0.341304,3.09,11.12,-0.38,37.9,1.9,141,Warm-up
09:03:12.300,12.3,51.456177,-0.341305,2.96,10.67,-1.24,38.2,1.9,141,Warm-up
09:03:12.400,12.4,51.456180,-0.341307,3.09,11.14,1.29,38.5,1.9,141,Warm-up
09:03:12.500,12.5,51.456182,-0.341310,3.25,11.71,1.60,38.8,1.9,141,Warm-up
09:03:12.600,12.6,51.456185,-0.341312,3.19,11.49,-0.60,39.2,2.0,142,Warm-up
09:03:12.700,12.7,51.456187,-0.341315,3.17,11.43,-0.19,39.5,2.0,142,Warm-up
09:03:12.800,12.8,51.456190,-0.341317,3.24,11.67,0.68,39.8,2.0,143,Warm-up
09:03:12.900,12.9,51.456192,-0.341319,3.32,11.95,0.78,40.1,2.0,142,Warm-up
09:03:13.000,13.0,51.456195,-0.341321,3.34,12.04,0.24,40.5,2.0,142,Warm-up
09:03:13.100,13.1,51.456197,-0.341324,3.37,12.14,0.30,40.8,2.0,143,Warm-up
09:03:13.200,13.2,51.456200,-0.341326,3.21,11.55,-1.66,41.1,2.0,143,Warm-up
09:03:13.300,13.3,51.456203,-0.341328,3.33,11.97,1.19,41.5,2.0,143,Warm-up
09:03:13.400,13.4,51.456205,-0.341331,3.14,11.29,-1.89,41.8,2.0,144,Warm-up
09:03:13.500,13.5,51.456207,-0.341334,3.32,11.94,1.78,42.1,2.1,144,Warm-up
09:03:13.600,13.6,51.456209,-0.341337,3.15,11.34,-1.66,42.4,2.1,144,Warm-up
09:03:13.700,13.7,51.456211,-0.341340,3.15,11.32,-0.04,42.7,2.1,144,Warm-up
09:03:13.800,13.8,51.456213,-0.341344,3.02,10.89,-1.22,43.0,2.1,144,Warm-up
09:03:13.900,13.9,51.456215,-0.341347,2.90,10.44,-1.25,43.3,2.1,144,Warm-up
09:03:14.000,14.0,51.456216,-0.341350,2.84,10.23,-0.57,43.6,2.1,143,Warm-up
09:03:14.100,14.1,51.456218,-0.341354,3.05,10.96,2.03,43.9,2.2,143,Warm-up
09:03:14.200,14.2,51.456220,-0.341357,2.83,10.17,-2.20,44.2,2.2,143,Warm-up
09:03:14.300,14.3,51.456221,-0.341360,3.08,11.09,2.54,44.5,2.2,143,Warm-up
09:03:14.400,14.4,51.456223,-0.341364,3.25,11.71,1.72,44.8,2.2,143,Warm-up
09:03:14.500,14.5,51.456225,-0.341367,3.37,12.14,1.20,45.2,2.2,143,Warm-up
09:03:14.600,14.6,51.456228,-0.341371,3.42,12.32,0.50,45.5,2.2,143,Warm-up
09:03:14.700,14.7,51.456229,-0.341375,3.22,11.60,-2.00,45.8,2.3,142,Warm-up
09:03:14.800,14.8,51.456231,-0.341378,3.26,11.72,0.34,46.2,2.3,142,Warm-up
09:03:14.900,14.9,51.456233,-0.341382,3.49,12.58,2.38,46.5,2.3,142,Warm-up
09:03:15.000,15.0,51.456235,-0.341386,3.44,12.40,-0.48,46.9,2.3,142,Warm-up
09:03:15.100,15.1,51.456237,-0.341390,3.72,13.40,2.78,47.2,2.3,142,Warm-up
09:03:15.200,15.2,51.456240,-0.341393,3.57,12.84,-1.55,47.6,2.4,143,Warm-up
09:03:15.300,15.3,51.456242,-0.341397,3.81,13.70,2.38,48.0,2.4,143,Warm-up
09:03:15.400,15.4,51.456244,-0.341401,3.64,13.11,-1.62,48.3,2.4,144,Warm-up
09:03:15.500,15.5,51.456247,-0.341404,3.42,12.30,-2.27,48.7,2.4,144,Warm-up
09:03:15.600,15.6,51.456249,-0.341407,3.53,12.72,1.19,49.0,2.4,145,Warm-up
09:03:15.700,15.7,51.456251,-0.341410,3.21,11.57,-3.20,49.3,2.5,145,Warm-up
09:03:15.800,15.8,51.456254,-0.341413,3.20,11.53,-0.13,49.7,2.5,144,Warm-up
09:03:15.900,15.9,51.456256,-0.341415,3.23,11.61,0.24,50.0,2.5,144,Warm-up
09:03:16.000,16.0,51.456258,-0.341418,3.10,11.15,-1.27,50.3,2.5,144,Warm-up
09:03:16.100,16.1,51.456261,-0.341416,3.25,11.71,1.55,50.6,2.5,145,Warm-up
09:03:16.200,16.2,51.456264,-0.341414,3.27,11.78,0.20,51.0,2.5,144,Warm-up
09:03:16.300,16.3,51.456266,-0.341412,3.25,11.72,-0.19,51.3,2.5,145,Warm-up
09:03:16.400,16.4,51.456269,-0.341410,3.13,11.28,-1.21,51.6,2.6,145,Warm-up
09:03:16.500,16.5,51.456271,-0.341408,3.32,11.94,1.83,51.9,2.6,144,Warm-up
09:03:16.600,16.6,51.456274,-0.341405,3.58,12.88,2.60,52.3,2.6,145,Warm-up
09:03:16.700,16.7,51.456277,-0.341403,3.49,12.56,-0.86,52.6,2.6,145,Warm-up
09:03:16.800,16.8,51.456280,-0.341401,3.61,12.98,1.15,53.0,2.6,146,Warm-up
09:03:16.900,16.9,51.456283,-0.341400,3.62,13.02,0.12,53.4,2.6,146,Warm-up
09:03:17.000,17.0,51.456286,-0.341398,3.62,13.03,0.03,53.7,2.6,146,Warm-up
09:03:17.100,17.1,51.456289,-0.341396,3.36,12.09,-2.63,54.0,2.7,146,Warm-up
09:03:17.200,17.2,51.456292,-0.341394,3.44,12.40,0.85,54.4,2.7,146,Warm-up
09:03:17.300,17.3,51.456294,-0.341392,3.29,11.83,-1.56,54.7,2.7,146,Warm-up
09:03:17.400,17.4,51.456297,-0.341390,3.24,11.65,-0.52,55.0,2.7,146,Warm-up
09:03:17.500,17.5,51.456299,-0.341388,3.10,11.16,-1.37,55.4,2.7,146,Warm-up
09:03:17.600,17.6,51.456301,-0.341386,2.90,10.44,-1.98,55.6,2.7,146,Warm-up
09:03:17.700,17.7,51.456304,-0.341383,2.91,10.48,0.10,55.9,2.7,146,Warm-up
09:03:17.800,17.8,51.456306,-0.341380,2.96,10.66,0.50,56.2,2.8,146,Warm-up
09:03:17.900,17.9,51.456308,-0.341380,2.97,10.70,0.11,56.5,2.8,145,Warm-up
09:03:18.000,18.0,51.456311,-0.341379,2.86,10.28,-1.15,56.8,2.8,145,Warm-up
09:03:18.100,18.1,51.456313,-0.341378,3.06,11.00,1.99,57.1,2.8,145,Warm-up
09:03:18.200,18.2,51.456315,-0.341380,2.82,10.15,-2.35,57.4,2.8,145,Warm-up
09:03:18.300,18.3,51.456317,-0.341383,2.79,10.05,-0.28,57.7,2.8,145,Warm-up
09:03:18.400,18.4,51.456317,-0.341386,2.88,10.37,0.88,58.0,2.8,145,Warm-up
09:03:18.500,18.5,51.456315,-0.341389,2.96,10.66,0.81,58.3,2.9,145,Warm-up
09:03:18.600,18.6,51.456313,-0.341391,2.89,10.42,-0.69,58.6,2.9,144,Warm-up
09:03:18.700,18.7,51.456311,-0.341393,3.03,10.89,1.33,58.9,2.9,145,Warm-up
09:03:18.800,18.8,51.456309,-0.341396,2.98,10.74,-0.42,59.2,2.9,144,Warm-up
09:03:18.900,18.9,51.456307,-0.341398,2.87,10.34,-1.11,59.4,2.9,145,Warm-up
09:03:19.000,19.0,51.456305,-0.341402,2.91,10.46,0.33,59.7,2.9,144,Warm-up
09:03:19.100,19.1,51.456303,-0.341404,2.76,9.94,-1.46,60.0,2.9,144,Warm-up
09:03:19.200,19.2,51.456301,-0.341407,2.99,10.78,2.33,60.3,3.0,144,Warm-up
09:03:19.300,19.3,51.456299,-0.341411,3.31,11.93,3.20,60.6,3.0,144,Warm-up
09:03:19.400,19.4,51.456297,-0.341414,3.22,11.58,-0.97,61.0,3.0,144,Warm-up
09:03:19.500,19.5,51.456295,-0.341417,3.20,11.52,-0.18,61.3,3.0,144,Warm-up
09:03:19.600,19.6,51.456293,-0.341420,3.32,11.95,1.21,61.6,3.0,144,Warm-up
09:03:19.700,19.7,51.456291,-0.341423,3.18,11.44,-1.42,61.9,3.0,144,Warm-up
09:03:19.800,19.8,51.456289,-0.341427,3.07,11.05,-1.10,62.2,3.1,144,Warm-up
09:03:19.900,19.9,51.456287,-0.341430,2.95,10.64,-1.14,62.5,3.1,143,Warm-up
09:03:20.000,20.0,51.456286,-0.341434,2.74,9.87,-2.14,62.8,3.1,143,Warm-up
09:03:20.100,20.1,51.456285,-0.341437,2.74,9.87,0.00,63.1,3.1,143,Warm-up
09:03:20.200,20.2,51.456284,-0.341440,2.63,9.48,-1.07,63.3,3.1,143,Warm-up
09:03:20.300,20.3,51.456282,-0.341444,2.80,10.09,1.68,63.6,3.1,142,Warm-up
09:03:20.400,20.4,51.456281,-0.341447,2.94,10.57,1.35,63.9,3.2,142,Warm-up
09:03:20.500,20.5,51.456280,-0.341451,3.04,10.96,1.07,64.2,3.2,142,Warm-up
09:03:20.600,20.6,51.456278,-0.341455,2.96,10.64,-0.88,64.5,3.2,142,Warm-up
09:03:20.700,20.7,51.456277,-0.341459,3.02,10.86,0.60,64.8,3.2,142,Warm-up
09:03:20.800,20.8,51.456276,-0.341462,2.85,10.26,-1.67,65.1,3.2,143,Warm-up
09:03:20.900,20.9,51.456275,-0.341466,2.96,10.66,1.13,65.4,3.2,142,Warm-up
09:03:21.000,21.0,51.456273,-0.341470,2.96,10.65,-0.04,65.7,3.2,143,Warm-up
09:03:21.100,21.1,51.456272,-0.341473,2.94,10.57,-0.21,66.0,3.2,143,Warm-up
09:03:21.200,21.2,51.456271,-0.341477,2.76,9.93,-1.77,66.3,3.3,143,Warm-up
09:03:21.300,21.3,51.456269,-0.341480,2.99,10.76,2.31,66.6,3.3,142,Warm-up
09:03:21.400,21.4,51.456268,-0.341484,3.05,10.98,0.60,66.9,3.3,143,Warm-up
09:03:21.500,21.5,51.456267,-0.341488,2.96,10.67,-0.86,67.2,3.3,143,Warm-up
09:03:21.600,21.6,51.456265,-0.341492,3.03,10.90,0.62,67.5,3.3,142,Warm-up
09:03:21.700,21.7,51.456264,-0.341496,3.20,11.53,1.76,67.8,3.3,142,Warm-up
09:03:21.800,21.8,51.456262,-0.341499,3.14,11.30,-0.65,68.1,3.3,142,Warm-up
09:03:21.900,21.9,51.456260,-0.341502,3.15,11.33,0.10,68.4,3.3,141,Warm-up
09:03:22.000,22.0,51.456258,-0.341506,3.28,11.82,1.37,68.7,3.4,141,Warm-up
09:03:22.100,22.1,51.456255,-0.341509,3.36,12.10,0.78,69.1,3.4,141,Warm-up
09:03:22.200,22.2,51.456253,-0.341512,3.38,12.18,0.21,69.4,3.4,141,Warm-up
09:03:22.300,22.3,51.456250,-0.341514,3.40,12.26,0.22,69.8,3.4,141,Warm-up
09:03:22.400,22.4,51.456248,-0.341517,3.35,12.07,-0.51,70.1,3.4,141,Warm-up
09:03:22.500,22.5,51.456246,-0.341520,3.24,11.66,-1.16,70.4,3.4,142,Warm-up
09:03:22.600,22.6,51.456244,-0.341524,3.30,11.89,0.65,70.8,3.4,141,Warm-up
09:03:22.700,22.7,51.456242,-0.341527,3.18,11.45,-1.22,71.1,3.4,142,Warm-up
09:03:22.800,22.8,51.456239,-0.341530,3.25,11.70,0.69,71.4,3.4,142,Warm-up
09:03:22.900,22.9,51.456237,-0.341533,3.26,11.73,0.08,71.7,3.5,142,Warm-up
09:03:23.000,23.0,51.456235,-0.341535,3.34,12.03,0.85,72.1,3.5,141,Warm-up
09:03:23.100,23.1,51.456232,-0.341538,3.15,11.35,-1.89,72.4,3.5,142,Warm-up
09:03:23.200,23.2,51.456229,-0.341539,3.41,12.29,2.59,72.7,3.5,141,Warm-up
09:03:23.300,23.3,51.456227,-0.341541,3.25,11.70,-1.64,73.0,3.5,141,Warm-up
09:03:23.400,23.4,51.456224,-0.341543,3.01,10.84,-2.37,73.3,3.6,141,Warm-up
09:03:23.500,23.5,51.456222,-0.341545,2.80,10.07,-2.16,73.6,3.6,141,Warm-up
09:03:23.600,23.6,51.456219,-0.341547,3.12,11.22,3.20,73.9,3.6,141,Warm-up
09:03:23.700,23.7,51.456217,-0.341549,3.44,12.37,3.20,74.3,3.6,141,Warm-up
09:03:23.800,23.8,51.456214,-0.341551,3.33,11.98,-1.08,74.6,3.7,141,Warm-up
09:03:23.900,23.9,51.456212,-0.341554,3.15,11.34,-1.77,74.9,3.7,141,Warm-up
09:03:24.000,24.0,51.456209,-0.341555,3.12,11.25,-0.26,75.2,3.7,142,Warm-up
09:03:24.100,24.1,51.456206,-0.341556,3.15,11.34,0.26,75.6,3.7,142,Warm-up
09:03:24.200,24.2,51.456204,-0.341558,3.16,11.38,0.10,75.9,3.7,142,Warm-up
09:03:24.300,24.3,51.456201,-0.341560,3.15,11.34,-0.11,76.2,3.7,141,Warm-up
09:03:24.400,24.4,51.456198,-0.341561,3.25,11.70,1.01,76.5,3.7,141,Warm-up
09:03:24.500,24.5,51.456195,-0.341563,3.33,12.00,0.83,76.8,3.7,142,Warm-up
09:03:24.600,24.6,51.456193,-0.341565,3.44,12.40,1.11,77.2,3.8,141,Warm-up
09:03:24.700,24.7,51.456190,-0.341567,3.12,11.24,-3.20,77.5,3.8,141,Warm-up
09:03:24.800,24.8,51.456188,-0.341569,2.95,10.61,-1.75,77.8,3.8,141,Warm-up
09:03:24.900,24.9,51.456185,-0.341570,2.75,9.89,-2.00,78.1,3.8,141,Warm-up
09:03:25.000,25.0,51.456183,-0.341572,3.06,11.02,3.14,78.4,3.9,141,Warm-up
09:03:25.100,25.1,51.456180,-0.341574,3.08,11.08,0.16,78.7,3.9,141,Warm-up
09:03:25.200,25.2,51.456178,-0.341576,2.96,10.66,-1.16,79.0,3.9,141,Warm-up
09:03:25.300,25.3,51.456176,-0.341579,2.95,10.62,-0.11,79.3,3.9,141,Warm-up
09:03:25.400,25.4,51.456174,-0.341582,3.07,11.06,1.20,79.6,3.9,141,Warm-up
09:03:25.500,25.5,51.456171,-0.341584,3.12,11.22,0.46,79.9,3.9,141,Warm-up
09:03:25.600,25.6,51.456169,-0.341586,3.25,11.71,1.36,80.2,3.9,141,Warm-up
09:03:25.700,25.7,51.456166,-0.341588,3.06,11.02,-1.92,80.5,4.0,141,Warm-up
09:03:25.800,25.8,51.456164,-0.341590,3.11,11.19,0.47,80.8,4.0,141,Warm-up
09:03:25.900,25.9,51.456162,-0.341593,3.09,11.11,-0.22,81.1,4.0,141,Warm-up
09:03:26.000,26.0,51.456160,-0.341596,3.25,11.69,1.63,81.5,4.0,141,Warm-up
09:03:26.100,26.1,51.456158,-0.341600,3.20,11.51,-0.51,81.8,4.0,141,Warm-up
09:03:26.200,26.2,51.456156,-0.341603,2.96,10.65,-2.40,82.1,4.0,140,Warm-up
09:03:26.300,26.3,51.456154,-0.341606,2.78,10.02,-1.74,82.4,4.0,140,Warm-up
09:03:26.400,26.4,51.456153,-0.341609,3.03,10.89,2.42,82.7,4.1,139,Warm-up
09:03:26.500,26.5,51.456152,-0.341613,3.04,10.93,0.11,83.0,4.1,140,Warm-up
09:03:26.600,26.6,51.456152,-0.341618,3.22,11.58,1.80,83.3,4.1,140,Warm-up
09:03:26.700,26.7,51.456152,-0.341622,2.98,10.73,-2.36,83.6,4.1,140,Warm-up
